Title,Genre,Language,Release Date,Country,Budget (M USD),Lifetime Gross (M USD),Number of Screens,IMDb Rating,Rotten Tomatoes Score,Audience Reviews,Marketing Budget (M USD),Hit or Flop
Jackass 3Da,Horror,Japanese,44968,Japan,247.98,1106.94,1644,5.5,60,194936,59.95,Average
Assassinsa,Thriller,Hindi,44177,USA,180.59,1106.93,4162,6.5,62,219564,47.95,Average
Losera,Drama,Tamil,45468,China,67.56,1101.07,3886,6.8,31,231608,29.61,Average
Spotlighta,Comedy,French,44070,South Korea,21.21,1096.1,752,6.6,98,416727,7.39,Average
The Longest Yarda,Animation,Hindi,41058,India,245.34,1092.13,3878,4,46,480045,25.29,One time watchable
Flight of the Intrudera,Sci-Fi,French,43413,Germany,182.19,1091.81,2204,5.4,87,423338,86.53,Average
Kung Pow: Enter the Fista,Horror,Spanish,43023,Germany,32.72,1086.5,2058,8.3,65,33043,5.54,Hit
The Diary of a Teenage Girla,Sci-Fi,Hindi,43981,South Korea,253.45,1086.1,2968,7.9,65,189079,36.13,Hit
Veer-Zaaraa,Adventure,Korean,40908,Germany,28.13,1084.9,2245,6.5,100,96462,8.31,Average
The Devil Insidea,Animation,Hindi,41330,USA,125.11,1082.25,3679,7.3,100,313442,45.33,Hit
The Messenger: The Story of Joan of Arca,Adventure,Chinese,43992,Germany,147.24,1078.76,3157,5.6,52,487982,20.34,Average
Dolphins and Whales 3D: Tribes of the Oceana,Animation,Korean,42480,France,208.76,1076.95,2547,8.3,44,56445,76.88,Hit
Time Banditsa,Romance,Chinese,45269,UK,7.07,1073.32,2558,9.3,41,76417,2.19,Hit
The Perfect Hosta,Action,Korean,43931,Germany,269.03,1071.47,1681,4.2,90,14045,117.78,One time watchable
Goosebumpsa,Animation,German,43513,USA,112.95,1070.5,2274,9.1,20,169917,37.37,Hit
Chasing Mavericksa,Animation,Telugu,42597,South Korea,34.19,1069.47,4238,6.3,65,358230,13.1,Average
Ultravioleta,Drama,Telugu,44142,India,85.1,1063.05,2422,4.5,38,90602,22.9,One time watchable
The Oxford Murdersa,Action,French,40998,UK,241.1,1050.58,2534,4.1,60,137850,28.83,One time watchable
Tank Girla,Action,Japanese,44100,China,240.83,1050.03,1440,8,56,331840,82.29,Hit
The World's Enda,Sci-Fi,Tamil,43672,Germany,214.81,1043.18,4297,5.4,55,165089,52.05,Average
The Great Beautya,Adventure,Tamil,43409,Germany,98.38,1043.17,4934,7.6,89,190893,22.42,Hit
Hobo with a Shotguna,Animation,Korean,45300,Germany,11.09,1036.51,2409,9.7,62,499611,4.5,Hit
Nanny McPhee Returnsa,Thriller,French,41721,China,151.6,1030.45,1393,4.5,97,251321,36.2,One time watchable
Blood Diamonda,Drama,Spanish,40653,South Korea,185.86,1023.06,1359,6.2,28,250729,33.28,Average
Bad Santaa,Drama,Japanese,42952,India,30.52,1016.15,831,7.1,60,356010,7.19,Hit
Into the Storma,Romance,German,41919,France,94.11,1013.86,2571,9.4,28,353048,18.3,Hit
Confessions of a Teenage Drama Queena,Romance,Telugu,41677,South Korea,286.06,1008.87,3884,8.3,86,84656,62.82,Hit
Basic Instinct 2a,Drama,French,43718,USA,174,998,2877,8.5,47,1398,44.52,Hit
The Hammera,Action,Korean,41135,UK,149.46,994.43,4495,8.1,69,168826,22.08,Hit
Whatever It Takesa,Adventure,French,43260,Germany,176.15,990.51,4557,5.6,94,231237,43.56,Average
August Rusha,Horror,Tamil,40331,Japan,202.5,983.39,2748,6.4,24,34932,50.42,Average
Aliensa,Adventure,Chinese,42847,India,133.38,982.25,1672,6.1,76,451320,22.28,Average
Disaster Moviea,Adventure,German,41110,India,93.21,979.97,4082,5.1,33,330116,15.65,Average
Theya,Romance,Japanese,42705,France,226.3,973.54,3936,8.2,99,497670,110.17,Hit
The Musketeera,Comedy,Chinese,45487,UK,295.95,973.2,2844,7.7,52,183477,143.33,Hit
The Hateful Eighta,Horror,Chinese,42318,China,133.65,968.19,1811,6.9,84,410450,15.96,Average
10 Things I Hate About Youa,Comedy,Spanish,41666,South Korea,75.41,966.27,3751,6.2,100,286884,23.73,Average
The Godfather: Part IIIa,Sci-Fi,Hindi,43260,India,289.96,963.62,1370,8.6,54,71837,29.5,Hit
Risena,Comedy,Hindi,42469,USA,91.45,959.66,4015,7.9,93,11433,20.72,Hit
Mamaa,Adventure,Telugu,45301,China,108.42,958.78,4719,8.1,27,376600,21.82,Hit
Curious Georgea,Animation,Tamil,45341,UK,254.02,956.14,3808,7.2,60,20118,79.08,Hit
Vantage Pointa,Action,Telugu,40935,South Korea,24.3,948.49,2219,7.7,28,107295,7.08,Hit
Pirates of the Caribbean: The Curse of the Black Pearla,Comedy,English,40560,Japan,281.63,946.34,3538,8.4,94,189203,52.68,Hit
Harsh Timesa,Animation,English,44880,USA,68.97,945.17,511,6.9,52,192378,24.11,Average
Before I Go to Sleepa,Comedy,Hindi,45145,Germany,27.54,939.83,2537,9.9,55,402152,13.1,Hit
Next Fridaya,Adventure,Korean,43124,UK,187.56,935.49,4942,5.6,90,450911,73.68,Average
Batman Forevera,Sci-Fi,Japanese,44612,Japan,287.19,934.91,3884,4.6,23,346342,136.04,One time watchable
The First Wives Cluba,Animation,English,42340,South Korea,115.61,933.86,4007,6.9,71,76703,18.43,Average
All or Nothinga,Thriller,Spanish,44984,France,231.65,933.04,3867,5.4,88,280629,34.21,Average
Chroniclea,Romance,Hindi,41939,India,38.96,930.11,2076,7.9,89,431687,15.52,Hit
The Fightera,Adventure,Hindi,43218,USA,32.82,930.01,872,6.2,48,87578,15.72,Average
Mi Americaa,Horror,Spanish,40445,Germany,207.96,929.01,2534,9.3,78,399027,93.32,Hit
Mean Girlsa,Animation,Japanese,41335,India,238.77,927.7,1025,7.3,72,6045,105.61,Hit
Kung Fu Pandaa,Horror,Spanish,45277,USA,207.32,925.41,1054,5.5,92,18423,95.88,Average
The Fisher Kinga,Action,German,40401,China,9.71,922.66,3823,4.5,77,361529,2.16,One time watchable
Batman Returnsa,Adventure,Telugu,45051,China,79.88,919.93,2442,8.4,37,238995,8.63,Hit
Robot & Franka,Animation,Tamil,45268,Japan,45.43,919.13,3484,4.1,89,495237,11.25,One time watchable
Full Frontala,Romance,Telugu,42964,China,41.59,918.93,895,4.2,94,369752,6.85,One time watchable
Gangster Squada,Action,Chinese,41783,China,289.75,918.77,1796,6.1,44,316438,128.5,Average
Set It Offa,Sci-Fi,English,41563,Japan,86.59,916.24,4730,9.8,45,401203,25.81,Hit
Red Riding Hooda,Horror,French,41512,Japan,272.63,915.91,4141,6.3,56,488759,94.72,Average
Topsy-Turvya,Thriller,Spanish,42930,China,236.23,914.54,4113,7.6,46,13879,91.95,Hit
Walk the Linea,Romance,Telugu,43658,Germany,57.18,913.55,526,9.2,72,337756,7.2,Hit
Battle Los Angelesa,Comedy,Tamil,40186,France,141.67,912.95,3103,4.3,100,200889,65.68,One time watchable
The Kids Are All Righta,Horror,Telugu,42941,China,163.43,912.54,528,6.6,20,143764,68.97,Average
Dancer in the Darka,Horror,Spanish,41087,India,226.29,911.32,3808,9.5,62,465089,64.16,Hit
Steamboya,Sci-Fi,German,41101,South Korea,182.13,908.18,813,5.9,49,412995,41.08,Average
Finding Neverlanda,Sci-Fi,German,44893,Japan,41.48,906.76,3956,5.2,78,247770,13.67,Average
The Imitation Gamea,Adventure,English,41894,India,193.86,901.68,1209,9.6,80,14587,70.32,Hit
Deadpoola,Action,English,43747,France,234.96,898.55,2770,9.5,21,499372,69.78,Hit
The Stepford Wivesa,Comedy,Hindi,44188,South Korea,127.71,897.38,3530,8.7,53,39949,54.04,Hit
Preciousa,Thriller,Telugu,44889,UK,245.5,894.34,2483,5.9,72,458039,32.76,Average
Glee: The 3D Concert Moviea,Sci-Fi,Hindi,41684,Japan,53.58,890.26,1460,5.5,28,363231,13.76,Average
Chokea,Romance,Telugu,43236,France,144.5,890.02,2141,9.7,67,51959,19.56,Hit
Pieces of Aprila,Romance,Korean,40215,Japan,205.22,888.92,1280,6.4,31,356608,85.29,Average
Moms' Night Outa,Horror,English,43587,India,75.18,888.44,4562,6.4,50,242051,17.8,Average
The Rosea,Comedy,Chinese,42457,Germany,83.82,885.15,2951,5.8,80,217992,9.31,Average
Daylighta,Thriller,English,44059,China,259.6,883.6,1258,8.3,45,219997,81.96,Hit
The Twilight Saga: New Moona,Adventure,Korean,42653,China,12.45,879.75,741,9.7,60,412741,3.87,Hit
Burlesquea,Animation,German,42324,China,286.73,878.2,1926,4.1,98,340203,136.45,One time watchable
The Monuments Mena,Thriller,Chinese,44942,Germany,293.03,874.88,4584,8.3,59,498265,137.07,Hit
Bedtime Storiesa,Animation,Spanish,41989,India,118.24,873.48,1421,4.3,89,326956,20.21,One time watchable
El Mariachia,Horror,Telugu,42458,India,216.2,872.9,1881,8.1,89,474543,37.4,Hit
What's the Worst That Could Happen?a,Animation,French,44452,China,297.17,870.1,2155,9.6,38,451474,54.01,Hit
Aliens vs. Predator: Requiema,Drama,French,43558,Japan,14.25,865.28,870,8,87,208047,6.73,Hit
The Conspiratora,Sci-Fi,Telugu,40553,China,122.5,864.75,742,7.8,89,98218,33.01,Hit
Song Onea,Thriller,Chinese,41931,Germany,231.85,862.98,4678,4.6,58,464490,26.32,One time watchable
A Knight's Talea,Animation,Spanish,44817,South Korea,91.6,862.41,2516,9.3,50,438686,36.14,Hit
The Girl with the Dragon Tattooa,Animation,Japanese,40966,UK,147.75,861.8,3102,8.3,42,356118,20.78,Hit
Wish I Was Herea,Sci-Fi,Chinese,45437,India,102.38,859.5,4901,7.6,68,18414,43.71,Hit
What Happens in Vegasa,Horror,French,42490,South Korea,80.07,858.61,4439,9.1,49,10376,15.27,Hit
Bolta,Animation,Chinese,43522,USA,118.72,855.23,3504,7.8,29,50805,19.29,Hit
The Oogieloves in the Big Balloon Adventurea,Sci-Fi,Tamil,41155,China,84.62,852.34,4979,6.8,22,360084,37.94,Average
9a,Thriller,English,44994,France,291.66,852.08,954,9.2,38,159427,80.06,Hit
Nanny McPheea,Animation,Tamil,44256,India,230.73,851.56,4472,6.4,27,348456,72.54,Average
Trollhuntera,Adventure,Chinese,40190,UK,252.1,850.78,2101,6.7,41,333939,120.92,Average
Good Bye Lenin!a,Sci-Fi,Tamil,45339,Germany,40.71,846.85,2149,9,88,92612,8.57,Hit
Outbreaka,Romance,Hindi,41766,USA,127.61,840.62,3824,7.1,41,383343,18.51,Hit
House on Haunted Hilla,Thriller,German,41398,UK,181.42,839.87,2849,8.6,80,443486,18.62,Hit
Resident Evila,Horror,German,45063,France,198.86,838.4,4578,5.6,60,119699,93.81,Average
The Lord of the Rings: The Two Towersa,Comedy,German,44296,France,284.9,838.25,928,5,47,131009,70.31,One time watchable
E.T. the Extra-Terrestriala,Horror,Korean,44242,China,166.74,837.88,1273,8.9,64,363611,50.59,Hit
Fiddler on the Roofa,Thriller,Hindi,43947,Japan,178.6,834.63,1336,4.4,36,38851,35.08,One time watchable
Dreamer: Inspired by a True Storya,Animation,English,40456,Germany,67.52,832.45,3359,6.3,89,142626,23.15,Average
Big Fat Liara,Action,Spanish,43333,India,24.19,832.15,2561,9.2,94,220716,9.33,Hit
Over the Hedgea,Romance,Spanish,43207,UK,232.08,830.89,1540,7.3,40,165998,48.01,Hit
Spy Kidsa,Comedy,English,43897,Japan,207.21,827.57,1907,6,84,315326,72.59,Average
Just Visitinga,Romance,German,42516,UK,122.86,824.96,2011,5.4,81,353682,36.64,Average
Taxi to the Dark Sidea,Thriller,Hindi,40200,France,32.14,821.62,3492,5.5,53,140537,7.11,Average
27 Dressesa,Romance,Korean,40742,Japan,72.09,818.22,4337,7.3,99,21341,32.07,Hit
The Onea,Adventure,English,42240,South Korea,36.04,815.77,4487,4.7,25,95062,12,One time watchable
Sgt. Bilkoa,Adventure,French,45075,Japan,190.36,814.76,1870,5.3,24,140282,60.26,Average
Begin Againa,Romance,Spanish,42672,France,63.95,810.2,2396,4.7,99,421548,14.21,One time watchable
Movie 43a,Romance,Spanish,44071,China,39.38,805.1,3447,8.2,64,9981,16.41,Hit
The Brothers Grimma,Horror,Hindi,40921,Japan,267.01,804.47,509,8.5,69,47706,79.48,Hit
The Basketa,Romance,Korean,45362,Germany,282.36,803.7,4650,7.8,66,77978,77.74,Hit
Home Runa,Adventure,Japanese,42594,France,154.68,803.1,1218,5.8,88,373188,73.35,Average
Still Alicea,Horror,Korean,45513,UK,228.36,800.81,3908,8.8,41,355281,59.34,Hit
Say It Isn't Soa,Romance,Tamil,44633,South Korea,14.91,797.81,3944,8.7,80,113991,6,Collection not met
American Gangstera,Adventure,French,44865,India,66.56,797.47,2794,8.5,52,390444,25.58,Collection not met
Joe Dirta,Horror,Hindi,44872,USA,124.55,794.66,4789,6.7,58,416259,26.21,Collection not met
Fifty Shades of Greya,Comedy,English,45059,India,269.89,794.45,1545,8.7,88,199233,111.31,Collection not met
Spider-Man 3a,Action,English,42937,China,282.28,794.02,2260,10,87,181457,31.17,Collection not met
The Spy Who Loved Mea,Thriller,Korean,45321,USA,199.58,792.85,557,6.5,36,8409,46.73,Collection not met
Southland Talesa,Adventure,Telugu,40664,Japan,188.47,787.99,638,6.8,44,445295,68.08,Collection not met
The Last King of Scotlanda,Horror,Chinese,42226,Germany,67.28,787.15,3488,8.6,24,218756,30.99,Collection not met
Stay Alivea,Sci-Fi,French,44656,Germany,242.96,786.86,3678,6.2,66,233171,104.48,Collection not met
Scream 4a,Drama,English,45020,India,16.99,786.19,3406,7.1,55,106806,2.72,Collection not met
Waitressa,Thriller,Japanese,41536,Japan,194.35,783.93,2523,6.9,52,329243,52.53,Collection not met
School Dazea,Adventure,Japanese,42650,South Korea,262.3,781.57,3718,9.9,29,267825,49.72,Collection not met
Marilyn Hotchkiss' Ballroom Dancing and Charm Schoola,Action,Korean,45507,China,50.36,779.93,1329,5.2,62,96075,20.79,Collection not met
Kevin Hart: Let Me Explaina,Action,Hindi,40984,India,173.99,778.75,2407,8.7,74,480929,76.89,Collection not met
Fun Sizea,Horror,Spanish,42617,UK,115.48,778.07,1673,5.1,53,244576,20.1,Collection not met
Brünoa,Thriller,Telugu,43867,South Korea,50.86,778.01,4186,7.3,23,256329,18.83,Collection not met
To Die Fora,Romance,English,42643,India,15.06,776.98,4130,4.6,100,416888,1.72,Collection not met
Star Wars: Episode IV - A New Hopea,Drama,Spanish,43750,Japan,61.62,775.59,4276,6.1,85,477843,19.01,Collection not met
Scarfacea,Animation,Spanish,42030,UK,12.3,774.86,2233,5.6,81,455772,3.6,Collection not met
Dead Poets Societya,Thriller,English,44812,UK,61.85,774.29,1486,5.9,78,26852,27.71,Collection not met
Baby Boya,Romance,Telugu,42013,UK,211.34,772.54,3415,7.8,22,431467,88.79,Collection not met
Proof of Lifea,Action,Tamil,44296,India,100.82,772.33,3704,6,69,375491,35.23,Collection not met
xXx: State of the Uniona,Romance,Telugu,42528,UK,226.77,771.75,2586,5.8,56,159460,37.67,Collection not met
The Gunmana,Comedy,Tamil,43043,France,241.16,770.9,1459,8.8,88,320612,28.24,Collection not met
Texas Chainsaw 3Da,Thriller,Japanese,45142,Japan,254.27,768.11,3551,7,98,420251,89.88,Collection not met
Grown Ups 2a,Adventure,English,41853,USA,152.82,767.19,3805,5,21,294156,33.13,Collection not met
Pearl Harbora,Action,Japanese,43587,Germany,61.07,766.94,1166,4.5,31,56320,26.42,Collection not met
Bangkok Dangerousa,Sci-Fi,Telugu,40886,India,55.66,766.39,4912,4.5,88,173267,25.54,Collection not met
"Lock, Stock and Two Smoking Barrelsa",Sci-Fi,Hindi,44548,UK,58.53,765.2,885,5.5,27,33965,12.82,Collection not met
Walking and Talkinga,Romance,German,42822,UK,287.15,763.98,2233,9.5,28,422408,43.38,Collection not met
Legiona,Drama,Spanish,43205,France,265.33,762.71,4635,7.1,56,4373,38.16,Collection not met
Seven Samuraia,Drama,Chinese,40839,Japan,132.72,761.93,3568,8.7,20,457013,22.29,Collection not met
Sorority Boysa,Romance,English,44571,Germany,286.33,761.83,3906,5,41,451687,78.58,Collection not met
Clerks IIa,Sci-Fi,German,41111,South Korea,93.02,758.99,4367,7.1,22,353342,9.62,Collection not met
Bad Lieutenant: Port of Call New Orleansa,Drama,Japanese,43868,China,11.87,758.48,3546,7.6,63,268508,4.49,Collection not met
Down to Eartha,Drama,Korean,43256,France,102.15,758.44,2876,4.1,67,56417,39.09,Collection not met
Justin Bieber: Never Say Nevera,Animation,English,42535,UK,37.8,757.51,1172,9,67,181523,17.83,Collection not met
Thirteen Conversations About One Thinga,Action,Chinese,41178,USA,235.97,753.05,2451,6.5,76,59797,76.25,Collection not met
Eternal Sunshine of the Spotless Minda,Sci-Fi,Korean,44942,South Korea,159.42,751.68,4972,5,43,149956,50.3,Collection not met
Gamera,Comedy,Japanese,43327,France,163.21,751.1,4490,8.6,67,389987,74.08,Collection not met
Inside Llewyn Davisa,Romance,German,42411,USA,95.86,747.8,2931,7.9,75,118552,17.81,Collection not met
Urban Legenda,Romance,German,44626,China,205.44,747.26,4593,7.4,59,146125,74.55,Collection not met
Harriet the Spya,Drama,Tamil,43126,India,164.52,745.67,1823,5.2,43,331273,31.86,Collection not met
Code 46a,Drama,French,41196,India,52,744.87,4972,7.8,43,23467,23.71,Collection not met
Marie Antoinettea,Adventure,Telugu,41038,France,193.08,743.6,2447,9.3,51,319251,57.01,Collection not met
My Girla,Horror,Hindi,41528,UK,12.37,743.13,1053,7.2,30,433727,2.79,Collection not met
The 40-Year-Old Virgina,Drama,German,41537,China,54.71,742.88,3292,8.5,75,5835,10.06,Collection not met
Cast Awaya,Animation,Chinese,45410,France,84.86,740.54,695,9.6,21,128545,28.73,Collection not met
Cradle Will Rocka,Animation,Tamil,45183,UK,120.19,740.51,3375,9.8,48,16786,33.14,Collection not met
Rise of the Planet of the Apesa,Animation,Tamil,40750,India,163.78,740.36,3713,8.3,48,300235,79.98,Collection not met
The Cavea,Animation,German,43987,India,291.8,739.87,1802,4.9,36,158564,144.74,Collection not met
Mr 3000a,Comedy,German,45049,UK,112.67,739.82,3932,8.5,85,30314,29.25,Collection not met
Howl's Moving Castlea,Romance,Hindi,40575,India,115.33,736.62,698,9,85,188459,28.28,Collection not met
Kingdom of Heavena,Drama,Japanese,44407,Japan,212.59,734.37,2752,7.3,97,232069,62.49,Collection not met
Enemy at the Gatesa,Adventure,Japanese,40553,Germany,153.47,731.66,1463,4.3,69,384296,32.41,Collection not met
Perfume: The Story of a Murderera,Adventure,French,43407,India,100.67,731.45,2274,8,89,5478,15.64,Collection not met
The Croodsa,Drama,Tamil,40361,USA,23.27,731.02,3136,10,21,480507,5.51,Collection not met
Once Upon a Time in Mexicoa,Thriller,Chinese,41893,India,108.53,729.55,817,5.5,94,419339,29.92,Collection not met
Hurricane Streetsa,Romance,Chinese,44263,France,80.53,728.55,1166,9.4,61,461903,23.53,Collection not met
Fun with Dick and Janea,Drama,Spanish,43506,USA,162.7,727.85,1842,5.3,86,369730,62.92,Collection not met
Ride with the Devila,Animation,Spanish,41086,South Korea,296.59,726.59,1030,7,58,339411,47.84,Collection not met
The Lunchboxa,Animation,Japanese,43933,South Korea,82.22,726.08,1855,5.6,82,29379,11.12,Collection not met
Superman IIa,Thriller,Japanese,44266,USA,153.36,725.31,3549,4.7,90,416812,48.24,Collection not met
Brothera,Romance,Spanish,45532,China,184.19,724.24,1986,9.1,67,334611,52.98,Collection not met
10 Cloverfield Lanea,Romance,Korean,40525,France,290.03,722.83,1763,7.6,55,404391,131.33,Collection not met
Bad Momsa,Drama,German,40355,China,299.53,721.62,1284,5.2,100,177062,103.53,Collection not met
Chocolata,Adventure,English,43888,India,193.67,719.89,3387,6.4,89,102420,86.42,Collection not met
Jack and Jilla,Sci-Fi,Spanish,42382,China,271.64,719.84,3692,5.8,23,31417,91.22,Collection not met
2 Gunsa,Romance,German,40480,China,31.86,719.02,3577,4.6,75,47587,14.49,Collection not met
Fridaya,Sci-Fi,English,40234,Germany,137.18,718.12,4006,6.3,26,7854,47.76,Collection not met
Back to the Future Part IIIa,Thriller,Chinese,44427,South Korea,86.94,716.69,3171,4.8,86,439243,13.15,Collection not met
Exodus: Gods and Kingsa,Drama,German,41494,France,270.85,716.66,2403,7,25,165392,39.53,Collection not met
Hotel Transylvaniaa,Adventure,Korean,42906,Japan,195.2,713.22,3058,4.1,68,277358,88.09,Collection not met
Flickaa,Sci-Fi,French,43797,Germany,77.05,711.76,2230,5.1,31,100747,32.6,Collection not met
Alone with Hera,Horror,English,44416,Japan,195.41,710.98,2629,5.9,93,251208,66.17,Collection not met
Graciea,Action,Tamil,44206,India,227.97,710.5,608,6.4,70,87387,112.55,Collection not met
Transformers: Revenge of the Fallena,Drama,Korean,45153,Japan,240.23,708.32,4933,7.4,45,90644,94.65,Collection not met
Hart's Wara,Comedy,German,41145,France,69.06,708.08,3938,8.6,65,279618,20.56,Collection not met
Shadowlandsa,Horror,Tamil,44125,Japan,173.83,707.11,1972,5.1,40,66874,73.05,Collection not met
I Can Do Bad All by Myselfa,Adventure,Telugu,41293,UK,101.06,704.9,1229,9.9,54,455532,14.42,Collection not met
Children of Mena,Sci-Fi,Chinese,45546,South Korea,50.2,703.12,2395,6.1,89,243311,23.22,Collection not met
Funny Peoplea,Drama,Japanese,40965,USA,56.48,703.04,2393,9.2,83,351062,25.11,Collection not met
Night at the Museum: Battle of the Smithsoniana,Drama,Korean,41753,South Korea,216.19,702.91,1932,7.8,83,495384,75.56,Collection not met
Kicking & Screaminga,Animation,Hindi,43072,Japan,254.76,699.15,2803,4.6,94,160729,94.67,Collection not met
How to Train Your Dragona,Romance,Hindi,41965,Japan,65.7,697.25,3843,6,28,350535,19.26,Collection not met
The Rockera,Comedy,Hindi,41848,USA,101.77,697.19,1196,9.1,57,195750,19.31,Collection not met
Nomad: The Warriora,Drama,Korean,44672,Japan,176.45,697.19,1463,4.6,82,374003,19.47,Collection not met
Monster's Balla,Drama,Chinese,42535,South Korea,181.08,696.23,2647,4.8,59,45149,55.5,Collection not met
La Bambaa,Action,English,43310,UK,24.87,695.93,1806,7,75,175076,11.61,Collection not met
Gods of Egypta,Comedy,Korean,43855,USA,264.38,695.31,1901,9,32,379835,83.87,Collection not met
The Corruptora,Adventure,Spanish,44935,Japan,114.59,693.8,2951,9,95,446405,56.29,Collection not met
Monkeybonea,Romance,French,41632,UK,131.87,693.01,918,4.7,46,41621,39.77,Collection not met
The Jungle Book 2a,Romance,Hindi,43548,South Korea,299.47,690.73,2255,4.5,26,362497,132.99,Collection not met
The Boxtrollsa,Sci-Fi,Telugu,42766,India,299.21,690.18,3460,5,73,346750,124.38,Collection not met
A Nightmare on Elm Streeta,Horror,Hindi,45047,France,189.14,689.66,1328,4.4,66,281863,44.44,Collection not met
Watchmena,Sci-Fi,Hindi,40550,China,183.28,688.4,4923,4.5,29,248039,52.34,Collection not met
Straight Outta Comptona,Drama,English,43550,India,130.44,687.82,3500,8,94,220277,40.73,Collection not met
Freaky Fridaya,Horror,Telugu,40918,China,236.18,687.65,4154,4.3,87,402923,38.03,Collection not met
Horrible Bosses 2a,Adventure,Telugu,41164,UK,81.6,687.46,1365,7,49,493011,8.4,Collection not met
Private Benjamina,Action,Spanish,45108,Germany,250.36,686.65,1475,6.6,50,489281,66.97,Collection not met
Alien: Resurrectiona,Adventure,Spanish,43463,India,239.36,686.52,3338,9.1,94,85145,107.67,Collection not met
Legal Eaglesa,Drama,Hindi,42899,France,114.24,685.1,4144,4.7,49,311229,35.99,Collection not met
Pooh's Heffalump Moviea,Animation,English,41543,USA,236.36,684.47,2676,8.6,40,231060,71.67,Collection not met
At First Sighta,Thriller,Hindi,41537,Japan,187.55,683.26,2594,6.8,41,300073,78.53,Collection not met
Black Snake Moana,Horror,Tamil,44214,Germany,148.22,682.86,2195,5.3,84,300086,47.51,Collection not met
Tinker Tailor Soldier Spya,Thriller,Tamil,41816,India,141.96,681.3,2306,7.1,53,471967,30.74,Collection not met
Match Pointa,Action,German,43468,Germany,98.39,680.36,4903,6.8,41,153858,32.01,Collection not met
Halloween: Resurrectiona,Romance,German,42765,UK,15.25,678.3,3723,5.2,90,110873,1.54,Collection not met
Tomorrow Never Diesa,Animation,English,41641,China,174.11,678.28,3189,9.7,20,290752,24,Collection not met
Brigham Citya,Thriller,Korean,44847,UK,14.58,678.28,4236,4.8,91,102197,6.21,Collection not met
Air Force Onea,Comedy,German,43737,USA,256.59,677.06,4363,6.5,61,289015,29.97,Collection not met
The Doorsa,Sci-Fi,Spanish,40918,China,42.6,676.64,931,6.7,32,341782,9.42,Collection not met
The Red Violina,Adventure,Spanish,41901,USA,10.16,674.44,895,8.4,99,156938,1.54,Collection not met
The Muppetsa,Drama,Korean,43864,UK,54.81,674.31,1580,9.7,82,470435,7.81,Collection not met
City of Angelsa,Romance,Tamil,44374,USA,34.14,673.57,1253,9.6,92,166456,11.51,Collection not met
Mercy Streetsa,Drama,Telugu,43067,Germany,25.64,671.72,4084,6.2,72,156190,5.26,Collection not met
I Got the Hook Upa,Action,Chinese,41195,South Korea,253.77,671.59,1227,6.4,99,380454,88.22,Collection not met
Anastasiaa,Thriller,Spanish,42356,South Korea,19.62,669.94,4139,9.7,71,248826,6.66,Collection not met
Gosford Parka,Thriller,Tamil,44306,Germany,288.93,667.55,4861,7.9,50,302708,72.63,Collection not met
The Abyssa,Horror,German,40572,USA,299.33,667.18,3241,4,22,53884,97.17,Collection not met
The Peanuts Moviea,Comedy,French,44880,UK,287.01,666.8,3695,4.2,82,338239,70.28,Collection not met
